Date,Event,Speaker,Time,Room
Aug 6th,Data Insight Forum,,1-2pm,
Aug 13th,Coding Club,,1-3pm,C2.31
Aug 27th,Data Insight Forum,,1-2pm,Westmead Innovation Centre 5307
Sept 3rd,Coding Club,,1-3pm,C2.31
Sept 10th,Seminar/Workshop,"Dr Kylie James, Dr Jacqueline Tearle","11am-12pm, 12:30-3pm",WIMR Seminar room
Sept 17th,Coding Club,,1-3pm,C2.31
Sept 24th,Data Insight Forum,,1-2pm,C2.31
Oct 1st,Coding Club,,1-3pm,Zoom
Oct 8th,Data Insight Forum/Seminar: TBD,,"11am-12pm, 12:30-3pm",WIMR Seminar room
Oct 15th,Coding Club,,1-3pm,C2.31
Oct 22nd,Data Insight Forum/Seminar: TBD,,"11am-12pm, 12:30-3pm",WIMR Seminar room
Oct 29th,Coding Club,,1-3pm,C2.31
Nov 5th,Data Insight Forum,,1-2pm,C2.31
Nov 12th,Coding Club,,1-3pm,C2.31
Nov 19th,Seminar,,"11am-12pm, 12:30-3pm",WIMR Seminar room
Nov 26th,Coding Club,,1-3pm,C2.31
Dec 3rd,Seminar,,"11am-12pm, 12:30-3pm",WIMR Seminar room
Dec 10th,Data Insight Forum,,1-2pm,C2.31
