Date,Event,Speaker,Seminar room,Time booked,Event time,Boardroom,Time booked,CASB,Time booked,Catering,Budget,Estimated Attendees,Notes:
11-Feb-26,,,Booked,11:00am - 3:00pm,,,,,,,,,
25-Feb-26,Introduction to QuPath,Elizabeth Dunn,Booked,11:00am - 3:00pm,1:00pm - 3:00pm,,,,,,,,
13-May-26,AI in Research Townhall,"Harry Robertson, Thomas O'Neil",Booked,,11:00am - 12:00pm,,,,,,,,
13-May-26,Introduction to setting up HPC for data analysis,"Sifan Zhang, Alexandra Carey Hoppe",Booked,11:00am - 3:00pm,1:00pm - 3:00pm,,,,,,,,
27-May-26,TBC,,Booked,11:00am - 3:00pm,,,,,,,,,
10-Jun-26,TBC,,Booked,11:00am - 3:00pm,,,,,,,,,
24-Jun-26,TBC,,Booked,11:00am - 3:00pm,,,,,,,,,
8-Jul-26,TBC,,Booked,11:00am - 3:00pm,,,,,,,,,
22-Jul-26,TBC,,Booked,11:00am - 3:00pm,,,,,,,,,
12-Aug-26,Introduction to programming and statistics,,Booked,11:00am - 3:00pm,,,,,,,,,
26-Aug-26,TBC,,Booked,11:00am - 3:00pm,,,,,,,,,
9-Sep-26,TBC,,Booked,11:00am - 3:00pm,,,,,,,,,
23-Sep-26,TBC,,Booked,11:00am - 3:00pm,,,,,,,,,
14-Oct-26,TBC,,to be booked,11:00am - 3:00pm,,,,,,,,,
28-Oct-26,Analysis drop-in session for honours submissions,,to be booked,11:00am - 3:00pm,,,,,,,,,
11-Nov-26,TBC,,to be booked,11:00am - 3:00pm,,,,,,,,,
25-Nov-26,TBC,,to be booked,11:00am - 3:00pm,,,,,,,,,
9-Dec-26,TBC,,to be booked,11:00am - 3:00pm,,,,,,,,,
